what,kind,bundleId,bundleVersion,description,time
error,log,,,"JavaBuilder handling CoreException",1368238001691
error,log,,,"JavaBuilder handling CoreException",1368238001703
error,log,,,"JavaBuilder handling CoreException",1368238001709
error,log,,,"JavaBuilder handling CoreException",1368238001714
error,log,,,"JavaBuilder handling CoreException",1368238001720
error,log,,,"JavaBuilder handling CoreException",1368238001726
error,log,,,"JavaBuilder handling CoreException",1368238001732
error,log,,,"JavaBuilder handling CoreException",1368238001737
error,log,,,"JavaBuilder handling CoreException",1368238001742
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1368238001804
error,log,,,"JavaBuilder handling CoreException",1368238001809
error,log,,,"JavaBuilder handling CoreException",1368238001829
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1368238001872
error,log,,,"JavaBuilder handling CoreException",1368238002011
error,log,,,"JavaBuilder handling CoreException",1368238002925
error,log,,,"JavaBuilder handling CoreException",1368238002931
error,log,,,"JavaBuilder handling CoreException",1368238002948
error,log,,,"JavaBuilder handling CoreException",1368238002987
error,log,,,"JavaBuilder handling CoreException",1368238003912
error,log,,,"JavaBuilder handling CoreException",1368238004006
error,log,,,"JavaBuilder handling CoreException",1368238004257
error,log,,,"JavaBuilder handling CoreException",1368238004278
error,log,,,"JavaBuilder handling CoreException",1368238004291
error,log,,,"JavaBuilder handling CoreException",1368238004296
error,log,,,"JavaBuilder handling CoreException",1368238004342
error,log,,,"JavaBuilder handling CoreException",1368238004357
error,log,,,"JavaBuilder handling CoreException",1368238004363
error,log,,,"JavaBuilder handling CoreException",1368238004369
error,log,,,"JavaBuilder handling CoreException",1368238004393
error,log,,,"JavaBuilder handling CoreException",1368238004531
error,log,,,"JavaBuilder handling CoreException",1368238004615
error,log,,,"JavaBuilder handling CoreException",1368238004730
error,log,,,"JavaBuilder handling CoreException",1368238004744
error,log,,,"JavaBuilder handling CoreException",1368238004753
error,log,,,"JavaBuilder handling CoreException",1368238004762
error,log,,,"JavaBuilder handling CoreException",1368238004790
error,log,,,"JavaBuilder handling CoreException",1368238004796
error,log,,,"JavaBuilder handling CoreException",1368238004801
error,log,,,"JavaBuilder handling CoreException",1368238004807
